Title,Genres,Rank,Popularity,Score,Episodes,Episode length,Release Date
Miraijin Go Home,"Action,Adventure",12862,17096,6.45,Unknown,3 min.,Spring 2006
Minamoto no Yoritomo to Bushi no Yononaka,"Action,Adventure",12821,17139,6.45,1,19 min.,Spring 2006
Minami no Niji no Lucy Specials,"Adventure,Drama,Slice of Life",12819,14903,6.45,2,45 min. per ep.,Spring 2006
Mister Ajikko Special,"Comedy,Gourmet",12864,14221,6.45,1,23 min.,Spring 2006
Mizu no Yume,"Comedy,Gourmet",12867,17429,6.45,1,10 min.,Spring 2006
Miracle Psychicer Seizan,"Action,Adventure,Fantasy",12851,15135,6.45,5,30 min. per ep.,Spring 2006
Minami no Kuni kara Kita Tegami,"Action,Adventure,Fantasy",12818,17505,6.45,1,3 min.,Spring 2006
Ming Ji,"Action,Adventure,Fantasy",12822,19880,6.45,1,5 min.,Spring 2006
Mina no Mura to Mori,"Action,Adventure,Fantasy",12816,17916,6.45,1,18 min.,Spring 2006
Minami e Itta Misuke,"Action,Adventure,Fantasy",12817,18510,6.45,1,15 min.,Spring 2006
Mina no Bousai Murazukuri,"Action,Adventure,Fantasy",12812,18009,6.45,1,20 min.,Spring 2006
Mina no Mura no Gomi Soudou,"Action,Adventure,Fantasy",12814,17978,6.45,1,22 min.,Spring 2006
Mimizuku to Tsuki-sama,"Action,Adventure,Fantasy",12811,17854,6.45,1,11 min.,Spring 2006
Miminari,"Action,Adventure,Fantasy",12810,18038,6.45,1,5 min.,Spring 2006
Mina no Mura to Kawa,"Action,Adventure,Fantasy",12815,18004,6.45,1,17 min.,Spring 2006
Minami no Shima no Hanayome-san,"Action,Adventure,Fantasy",12820,18228,6.45,1,2 min.,Spring 2006
Mirai Kara Kita Shounen Super Jetter,"Action,Comedy,Sci-Fi",12856,13552,6.45,52,25 min. per ep.,Winter 1965
Million Doll: Otaku Go Kouza,"Action,Comedy,Sci-Fi",12804,18037,6.45,1,2 min.,Winter 1965
Milu Chuanqi,"Adventure,Fantasy",12806,19878,6.45,26,13 min. per ep.,Winter 1965
Milky Panic twelve,"Adventure,Fantasy",12803,14214,6.45,1,Unknown,Winter 1965
Mina no Egao,"Adventure,Fantasy",12813,17606,6.45,1,16 min.,Winter 1965
Mim Mam Mint,"Adventure,Fantasy",12808,14096,6.45,4,Unknown,Winter 2016
Mimi-chan no Te to Te to Te,"Adventure,Fantasy",12809,18424,6.45,1,18 min.,Winter 2016
Mikosuri Han-Gekijou,"Adventure,Fantasy",12802,16839,6.45,1,27 min.,Winter 2016
Midori no Makibao Compilation OVA,"Comedy,Sports",12790,16234,6.45,1,38 min.,Winter 2016
Microphone Soul Spinners: Kotodama Shoujo - Furikaeri Douga,"Comedy,Sports",12787,16421,6.45,1,5 min.,Winter 2016
Miko Note Episode 0: Zenjitsudan,"Mystery,Slice of Life",12801,18460,6.45,1,11 min.,Winter 2016
"Miloha CM:  Oresama ni, Amae Chai na","Mystery,Slice of Life",12805,19877,6.45,1,20 sec.,Winter 2016
Microphone Soul Spinners: Kotodama Shoujo,"Mystery,Slice of Life",12786,11865,6.45,24,9 min. per ep.,Winter 2016
Microid S,"Action,Sci-Fi",12785,13010,6.45,26,25 min. per ep.,Spring 1973
Michi,"Action,Sci-Fi",12782,18196,6.45,1,Unknown,Spring 1973
Milu Wang,"Adventure,Fantasy",12807,19879,6.45,1,1 hr. 28 min.,Spring 1973
Michiru Rescue!,"Adventure,Fantasy",12783,13635,6.45,1,Unknown,Spring 1973
Miao Xiansheng: Huo Ze Kui Xiao Ren Chuan,"Drama,Fantasy",12779,18436,6.45,5,5 min. per ep.,Spring 1973
Micchiri Wanko! Animation,"Drama,Fantasy",12781,12444,6.45,24,1 min. per ep.,Spring 2020
Miao Wu Shi Shui Jiao De?,"Drama,Fantasy",12777,19099,6.45,1,10 min.,Spring 2020
Midori-chan,"Drama,Fantasy",12791,15501,6.45,6,6 min. per ep.,Spring 2020
Michitekuru Toki no Mukou ni,"Adventure,Fantasy,Romance",12784,14018,6.45,1,1 hr. 16 min.,Spring 2020
Mianhua Tang He Yunduo Mama: Fu Shu Song Ji,"Adventure,Fantasy,Romance",12774,19873,6.45,1,47 min.,Spring 2020
Ming Ji 2: Chu Zhi Lian,"Adventure,Fantasy,Romance",12823,19881,6.45,1,6 min.,Spring 2020
Midori no Kuni no Otomodachi: Koeda-chan,"Adventure,Fantasy,Romance",12789,15848,6.45,8,3 min. per ep.,Spring 2020
Mianhua Tang He Yunduo Mama,"Adventure,Fantasy,Romance",12772,19871,6.45,240,10 min. per ep.,Spring 2020
Mi Le Mi Ke: Shenqi Haitun Dao 2nd Season,"Adventure,Fantasy,Romance",12771,19286,6.45,26,13 min. per ep.,Spring 2020
Miao Qiansui de Chengnian Li,"Adventure,Fantasy,Romance",12776,15822,6.45,7,2 min. per ep.,Spring 2020
Mi Feng Yu Qiu Yin,"Adventure,Fantasy,Romance",12769,19058,6.45,1,18 min.,Spring 2020
Mi Le Mi Ke: Shenqi Haitun Dao,"Adventure,Fantasy,Romance",12770,19285,6.45,26,13 min. per ep.,Spring 2020
Miao Xiansheng: Yan Luo Dadao,"Adventure,Fantasy,Romance",12780,18509,6.45,1,8 min.,Spring 2020
Metamon to! Upah to Katazuke,"Adventure,Fantasy,Romance",12765,17400,6.45,1,2 min.,Spring 2020
Metamon to! Purin no Stage,"Adventure,Fantasy,Romance",12764,16662,6.45,1,2 min.,Spring 2020
Mi Duo De Tuya Riji,"Adventure,Fantasy,Romance",12768,19057,6.45,30,10 min. per ep.,Spring 2020
Metamon to! Oyasumi Mokuroh,"Adventure,Fantasy,Romance",12763,16370,6.45,1,2 min.,Spring 2020
Mi Bao Chuanshuo: Bai Cheng Ming Huan You Ji,"Adventure,Comedy",12767,18933,6.45,8,2 min. per ep.,Spring 2020
Midnight Horror School,"Adventure,Comedy",12788,12291,6.45,52,11 min. per ep.,Fall 2003
Mermaid,"Adventure,Comedy",12760,18618,6.45,1,3 min.,Fall 2003
Meshinuma.,"Gourmet,Slice of Life",12761,12192,6.45,20,1 min. per ep.,Fall 2003
Meoteoldosawa 108 Yogoe,"Action,Adventure,Fantasy",12758,16299,6.45,1,1 hr. 20 min.,Fall 2003
Metamorphosis,"Action,Adventure,Fantasy",12766,14752,6.45,1,3 min.,Fall 2003
Mianhua Tang He Yunduo Mama: Chaoji Xiao Mihua,"Action,Adventure,Fantasy",12773,19872,6.45,1,43 min.,Fall 2003
Meoteoldosawa Ttomae,"Action,Adventure,Fantasy",12759,16300,6.45,1,1 hr. 20 min.,Fall 2003
Miao Xiansheng,"Adventure,Drama,Fantasy",12778,12153,6.45,1,1 hr. 29 min.,Fall 2003
Mianhua Tang He Yunduo Mama: Meimeng Cheng Zhen,"Adventure,Drama,Fantasy",12775,19874,6.45,1,51 min.,Fall 2003
Mentori,"Adventure,Drama,Fantasy",12756,16361,6.45,10,3 min. per ep.,Fall 2003
Meoteoldosa,"Action,Adventure,Fantasy",12757,16679,6.45,1,1 hr. 20 min.,Fall 2003
Menghuan Shuyuan 3rd Season,"Comedy,Fantasy",12744,18003,6.45,14,2 min. per ep.,Fall 2003
Menghuan Xiyou: Tianming Zhi Zhan,"Action,Adventure,Fantasy",12753,19868,6.45,13,25 min. per ep.,Fall 2003
Meng Zhu Yijia,"Action,Adventure,Fantasy",12742,19265,6.45,26,4 min. per ep.,Fall 2003
Metallion,"Action,Sci-Fi",12762,18417,6.45,104,10 min. per ep.,Winter 2019
