Title,Genres,Rank,Popularity,Score,Episodes,Episode length,Release Date
Tsuri Baka Nisshi,"Comedy,Slice of Life",14929,13881,6.45,36,24 min. per ep.,Fall 2002
Tsuyu no Hito Shizuku,"Comedy,Slice of Life",14935,14261,6.45,1,36 min.,Fall 2002
Ukkari Pénélope (2013),"Comedy,Slice of Life",14998,17137,6.45,13,5 min. per ep.,Fall 2002
Ukkari Pénélope (2017),"Comedy,Slice of Life",14999,17565,6.45,13,5 min. per ep.,Fall 2017
Tsuzuki wo Kangaeru Monogatari,"Comedy,Slice of Life",14936,16171,6.45,4,30 sec. per ep.,Fall 2017
Tug-Tug,"Comedy,Slice of Life",14943,17271,6.45,1,5 min.,Fall 2017
Tsuru no Ongaeshi,"Comedy,Slice of Life",14930,15738,6.45,1,17 min.,Fall 2017
Ushiwakamaru,"Comedy,Slice of Life",15048,18580,6.45,4,12 min. per ep.,Fall 2017
Tsunagaru Animal,"Comedy,Slice of Life",14928,17398,6.45,1,5 min.,Fall 2017
Utau Soccer Panda Mifanda,"Comedy,Slice of Life",15050,14399,6.45,12,7 min. per ep.,Spring 2021
Ushigaeru,"Comedy,Slice of Life",15045,18344,6.45,1,8 min.,Spring 2021
Usahana: Yumemiru Ballerina,"Comedy,Slice of Life",15043,15067,6.45,7,7 min. per ep.,Spring 2021
Ushiro no Hyakutarou,"Horror,Supernatural",15046,15144,6.45,2,29 min. per ep.,Spring 2021
Usagi to Kame no Koutsuu Anzen,"Drama,Fantasy",15042,17613,6.45,1,13 min.,Spring 2021
Usagi no Mofy (TV),"Drama,Fantasy",15041,17906,6.45,26,5 min. per ep.,Winter 2013
Usamaru,"Drama,Fantasy",15044,16214,6.45,12,5 min. per ep.,Winter 2013
Ukkari Pénélope OVA,"Drama,Fantasy",15000,16051,6.45,2,5 min. per ep.,Winter 2013
Wangu Jian Shen,"Action,Fantasy,Supernatural",15099,15223,6.45,Unknown,11 min.,Winter 2013
Wangu Xian Qiong IV: Yin Yue Cheng Pian,"Action,Adventure,Fantasy",15100,12648,6.45,12,17 min. per ep.,Winter 2013
Wang Zhe Wai Chuan,"Action,Adventure,Fantasy",15097,18405,6.45,12,Unknown,Winter 2013
Wanghu Sim Cheong,"Action,Adventure,Fantasy",15098,13328,6.45,1,1 hr. 35 min.,Winter 2013
Uta no Uta,"Action,Adventure,Fantasy",15049,18428,6.45,1,2 min.,Winter 2013
Wang,"Action,Adventure,Fantasy",15094,19372,6.45,1,9 min.,Winter 2013
Ushiro no Seki no Ochiai-kun,"Action,Adventure,Fantasy",15047,17104,6.45,1,46 min.,Winter 2013
Wang Er Shan,"Action,Adventure,Fantasy",15095,19074,6.45,26,15 min. per ep.,Winter 2013
Wan Wan Kajida Wan,"Action,Adventure,Fantasy",15090,18557,6.45,1,18 min.,Winter 2013
Wan Yu Feng Shen,"Action,Fantasy",15092,14760,6.45,60,10 min. per ep.,Winter 2013
Wan Dun Shui Ya Ji Zhan Ge,"Action,Fantasy",15088,19401,6.45,1,30 min.,Winter 2013
Wan Ou Qibing,"Adventure,Fantasy",15089,20219,6.45,1,1 hr. 28 min.,Winter 2013
Wan Wan Qian Qian Weisheme,"Adventure,Fantasy",15091,20220,6.45,52,5 min. per ep.,Winter 2013
Wan Yu Zhi Wang,"Action,Fantasy",15093,18004,6.45,24,12 min. per ep.,Winter 2013
We Are Us,"Action,Fantasy",15148,18538,6.45,1,2 min.,Winter 2013
We,"Action,Fantasy",15147,20225,6.45,1,1 min.,Winter 2013
Wazaguu! vs. Dangerous Jiisan Ja: Houfukuzettou! Anime Quiz,"Action,Fantasy",15146,16457,6.45,1,35 min.,Winter 2013
Watashitachi no Mirai,"Action,Fantasy",15145,16463,6.45,1,Unknown,Winter 2013
Wedding Park,"Action,Fantasy",15149,15560,6.45,2,15 sec. per ep.,Winter 2013
Wu Long Xiao Zi,"Action,Fantasy",15200,20235,6.45,78,12 min. per ep.,Winter 2013
Wu Lan Qi Qi Ge,"Action,Fantasy",15198,17217,6.45,26,22 min. per ep.,Winter 2013
Wu Liao Kuaihuo,"Action,Fantasy",15199,20234,6.45,12,5 min. per ep.,Winter 2013
Wu Kong Dazhan Er Lang Shen,"Action,Adventure",15197,17604,6.45,1,1 hr. 15 min.,Winter 2013
Wu Dong Qian Kun 3rd Season,"Action,Adventure,Fantasy",15196,10961,6.45,12,24 min. per ep.,Winter 2013
Xian Jian Qi Xia Zhuan: Huan Li Jing,"Action,Fantasy,Romance",15250,14605,6.45,2,49 min. per ep.,Winter 2013
Weiqi Shaonian,"Action,Fantasy,Romance",15150,13166,6.45,26,22 min. per ep.,Winter 2013
Xiamen Zhi Xia,"Action,Fantasy,Romance",15248,18943,6.45,5,6 min. per ep.,Winter 2013
Xia Gu Zhong An Zu,"Action,Fantasy,Romance",15246,17682,6.45,12,Unknown,Winter 2013
Usagi no Mofy (TV 2016),"Action,Fantasy,Romance",15040,18218,6.45,26,5 min. per ep.,Winter 2016
Xian Bu Chuanqi,"Adventure,Fantasy",15249,20243,6.45,1,1 hr. 23 min.,Winter 2016
Xi Yangyang Yu Hui Tailang: Yuanshi Shijie Lixian Ji,"Adventure,Comedy",15245,18625,6.45,60,15 min. per ep.,Winter 2016
Xi Yangyang Yu Hui Tailang: Yichu Da Maoxian,"Adventure,Comedy",15243,18560,6.45,60,15 min. per ep.,Winter 2016
Xi Yangyang Yu Hui Tailang: Yangyang Yundonghui,"Comedy,Sports",15242,18149,6.45,60,15 min. per ep.,Winter 2016
Ukkari Pénélope,"Comedy,Slice of Life",14997,14582,6.45,26,5 min. per ep.,Fall 2006
Wang Qi Dao Ci Yi You,"Comedy,Slice of Life",15096,19386,6.45,1,Unknown,Fall 2006
Xi Yangyang Yu Hui Tailang: Yangyang Xiao Zhentan,"Adventure,Comedy",15241,18569,6.45,60,15 min. per ep.,Fall 2006
Xi Yangyang Yu Hui Tailang: Yangyang Deyi Xi Yangyang,"Adventure,Comedy",15238,18380,6.45,365,5 min. per ep.,Fall 2006
Xi Yangyang Yu Hui Tailang: Yang Nian Xi Yangyang,"Adventure,Comedy",15237,16053,6.45,1,1 hr. 26 min.,Fall 2006
Xia Lan,"Action,Adventure,Drama,Fantasy,Supernatural",15247,12877,6.45,156,25 min. per ep.,Winter 2012
Xi Yangyang Yu Hui Tailang: Yiguo Da Yingjiu,"Adventure,Comedy",15244,18270,6.45,60,15 min. per ep.,Summer 2020
Xiao Niu Xiang Qian Chong,"Adventure,Comedy",15299,20256,6.45,52,20 min. per ep.,Summer 2009
Xiao Pengyou Men,"Adventure,Comedy",15300,19128,6.45,1,9 min.,Summer 2009
Watashitachi no Kurashi to Doboku,"Adventure,Comedy",15144,16516,6.45,3,20 min. per ep.,Summer 2009
Xi Yangyang Yu Hui Tailang: Yang Cun Shouhuzhe,"Adventure,Comedy",15236,18582,6.45,60,15 min. per ep.,Summer 2009
Xiao Ming Xing,"Adventure,Comedy",15298,19380,6.45,1,18 min.,Summer 2009
Xiao Mijiu Dalu You Li Ji,"Adventure,Comedy",15297,19390,6.45,10,2 min. per ep.,Summer 2009
Xiao Meirenyu de Qihuan Maoxian,"Adventure,Fantasy",15296,19403,6.45,1,1 hr. 21 min.,Summer 2009
Xi Yangyang Yu Hui Tailang: Xiha Chuang Shijie,"Adventure,Comedy",15235,18606,6.45,60,13 min. per ep.,Summer 2009
Xiexie Xiaohua Mao,"Adventure,Comedy",15348,18706,6.45,1,13 min.,Summer 2009
Xiaopin Yijia Ren: Baoxiao Xiaoyuan Pian,"Adventure,Comedy",15346,18946,6.45,24,5 min. per ep.,Summer 2009
Xiatian Qu,"Adventure,Comedy",15347,19382,6.45,24,5 min. per ep.,Summer 2009
Xiaomei De Meng,"Adventure,Comedy",15343,19075,6.45,1,35 min.,Summer 2009
Xiaomi De Senlin,"Adventure,Comedy",15344,18866,6.45,16,7 min. per ep.,Summer 2009
Xin Datou Er Zi He Xiao Tou Baba,"Adventure,Comedy",15349,20270,6.45,50,12 min. per ep.,Summer 2009
Xiaonu Cao E,"Adventure,Comedy",15345,20269,6.45,10,9 min. per ep.,Summer 2009
Xi Yangyang Yu Hui Tailang: Yangyang Xiao Xinyuan,"Adventure,Comedy",15240,18533,6.45,60,15 min. per ep.,Summer 2009
Xiong Chumo: Kuang Ye Dalu,"Comedy,Sci-Fi",15399,18478,6.45,1,1 hr. 39 min.,Summer 2009
Xi Yangyang Yu Hui Tailang: Yangyang Kuaile De Yi Nian,"Adventure,Comedy",15239,18358,6.45,100,15 min. per ep.,Summer 2009
Xiong Chumo: Huanqiu Da Maoxian,"Adventure,Comedy",15398,15585,6.45,104,13 min. per ep.,Summer 2009
Xiong Chumo: Guonian,"Adventure,Comedy",15397,16816,6.45,1,1 hr. 8 min.,Summer 2009
Yamiyo no Jidaigeki,"Adventure,Comedy",15450,14460,6.45,2,15 min. per ep.,Summer 2009
Yami Yami (September 2012),"Adventure,Comedy",15449,18175,6.45,1,4 min.,Summer 2009
Yamakawa Keiko-san wa Furimukanai,"Adventure,Comedy",15445,18697,6.45,1,10 min.,Summer 2009
Xin Datou Er Zi He Xiao Tou Baba 2: Yi Ri Chengcai,"Adventure,Comedy",15350,20271,6.45,1,1 hr. 25 min.,Summer 2009
Yamakoshi Mura no Mari to Sanbiki no Koinu,"Adventure,Comedy",15446,15073,6.45,1,45 min.,Summer 2009
Yike Da Baicai,"Adventure,Comedy",15499,19245,6.45,1,15 min.,Summer 2009
Xiaomao Diaoyu,"Adventure,Comedy",15342,18958,6.45,1,14 min.,Summer 2009
Xiong Chumo: Duo Bao Xiong Bing,"Adventure,Comedy",15396,15331,6.45,1,1 hr. 36 min.,Summer 2009
Xiong Chumo: Nianhuo,"Adventure,Comedy",15400,16598,6.45,1,51 min.,Summer 2009
Yin Cha: Guan Ai Shengming,"Adventure,Comedy",15500,18905,6.45,52,11 min. per ep.,Summer 2009
Yamete! Writer Asobi: Doubutsu Mura no Shouboutai Shutsu Dou,"Adventure,Comedy",15447,17242,6.45,1,14 min.,Summer 2009
Yi Tang Xiao Gushi,"Adventure,Comedy",15494,18904,6.45,80,12 min. per ep.,Summer 2009
Yi Tang Juchang: Sanguo Yanyi,"Adventure,Comedy",15493,19010,6.45,108,12 min. per ep.,Summer 2009
Yami Yami,"Adventure,Comedy",15448,18170,6.45,1,2 min.,Summer 2009
Yi Shijie Zhongyao Pu 2nd Season,"Drama,Fantasy",15492,20306,6.45,60,12 min. per ep.,Summer 2009
Yi Fu Tong Jin,"Drama,Fantasy",15489,19145,6.45,1,48 min.,Summer 2009
Yi Zhi Xie,"Drama,Fantasy",15496,19319,6.45,1,35 min.,Summer 2009
Yewai de Zaoyu,"Drama,Fantasy",15487,18751,6.45,1,10 min.,Summer 2009
Yiban Er Wangguo,"Drama,Fantasy",15497,19393,6.45,1,24 min.,Summer 2009
Yesnal Yesjeog-e,"Drama,Fantasy",15486,18698,6.45,13,15 min. per ep.,Winter 1990
Youyou no Neko Tsumami,"Comedy,Slice of Life",15548,14401,6.45,130,5 min. per ep.,Spring 1992
Yowai Robot to 10 no Story Project,"Comedy,Slice of Life",15549,16289,6.45,2,1 min. per ep.,Spring 1992
Yichan Xiao Heshang,"Comedy,Slice of Life",15498,18607,6.45,Unknown,2 min.,Spring 1992
Yi Ye Fu Weng,"Comedy,Slice of Life",15495,19244,6.45,1,8 min.,Spring 1992
Yumi-chan no Hikkoshi: Sayonara Tsutomu-kun,"Comedy,Slice of Life",15600,17244,6.45,1,2 min.,Spring 1992
Yi Ge Xin Zu Qiu,"Comedy,Slice of Life",15490,19318,6.45,1,17 min.,Spring 1992
Yi Fei Chong Tian: Tianji Zhang Qi,"Comedy,Slice of Life",15488,19067,6.45,52,23 min. per ep.,Spring 1992
Yukidaruma,"Comedy,Slice of Life",15577,14284,6.45,1,Unknown,Spring 1992
Yi Kong Zhi Dian,"Adventure,Sports",15491,16186,6.45,40,23 min. per ep.,Spring 1992
Yumehito: Yumejin,"Adventure,Sports",15597,16912,6.45,1,4 min.,Spring 1992
Yume Utsutsu (2010),"Adventure,Sports",15593,18155,6.45,1,4 min.,Spring 1992
Yumemachi Ressha,"Adventure,Sports",15598,18683,6.45,1,4 min.,Spring 1992
Youxia Zhanji,"Action,Adventure,Fantasy",15547,14606,6.45,20,18 min. per ep.,Spring 1992
Yumearu Ugoku Ehon,"Action,Adventure,Fantasy",15596,16883,6.45,Unknown,3 min.,Spring 1992
Yume wo Kanaeru Zou,"Action,Adventure,Fantasy",15594,13967,6.45,12,10 min. per ep.,Winter 2009
Yowamushi Chinsengumi,"Action,Adventure,Fantasy",15550,15018,6.45,1,5 min.,Winter 2009
Zhandou Ba Ling Shou,"Action,Adventure,Fantasy",15650,20334,6.45,52,23 min. per ep.,Winter 2009
"Yume, Sora Takaku","Action,Adventure,Fantasy",15595,17105,6.45,1,41 min.,Winter 2009
Zhonghua Xun Lixian Ji,"Adventure,Fantasy",15700,20344,6.45,26,10 min. per ep.,Winter 2009
Zhonghua Meide,"Adventure,Fantasy",15699,20343,6.45,99,12 min. per ep.,Winter 2009
Zhan Shuang Panini,"Action,Comedy",15649,15251,6.45,12,6 min. per ep.,Winter 2009
Zhonghua Dizi Gui,"Action,Comedy",15697,18894,6.45,60,25 min. per ep.,Winter 2009
Yume no Tochuu de,"Action,Comedy",15591,16489,6.45,1,4 min.,Winter 2009
Yume no Tsuzuki,"Action,Comedy",15592,16808,6.45,1,40 min.,Winter 2009
Zui Ke Ai De Ren,"Action,Comedy",15750,20347,6.45,14,40 min. per ep.,Winter 2009
Zhonghua Dizi Gui 2nd Season,"Action,Comedy",15698,18948,6.45,120,13 min. per ep.,Winter 2009
Aaron He Lili,"Action,Comedy",15799,18870,6.45,1,9 min.,Winter 2009
Yumemi no E,"Action,Comedy",15599,13732,6.45,1,10 min.,Winter 2009
AAA de Ikou!!: Yuuna & Akiko,"Action,Comedy",15798,14704,6.45,1,11 min.,Winter 2009
ABC Tenkiyohou,"Action,Comedy",15800,18052,6.45,1,1 min.,Winter 2009
Akazukin-chan to Manabou! Koutsuu Rule,"Action,Comedy",15849,16645,6.45,1,14 min.,Winter 2009
Akindo Sei no Little Peso,"Comedy,Sci-Fi",15850,13788,6.45,12,3 min. per ep.,Spring 2017
A.A,"Comedy,Sci-Fi",15797,17762,6.45,1,9 min.,Spring 2017
Akaito,"Drama,Romance",15847,18241,6.45,2,5 min. per ep.,Spring 2017
Zhan Shou Zhi Ren,"Action,Adventure,Fantasy,Supernatural",15648,13650,6.45,18,20 min. per ep.,Spring 2017
Akai Hoshi Aoi Hoshi: Tenmon Carat no Hoshi kara,"Action,Adventure,Fantasy,Supernatural",15845,17925,6.45,1,2 min.,Spring 2017
Akagaki Genzou: Tokuri no Wakare,"Action,Adventure,Fantasy,Supernatural",15844,15654,6.45,1,Unknown,Spring 2017
Akachan Honbuchou,"Action,Adventure,Fantasy,Supernatural",15842,15074,6.45,8,5 min. per ep.,Winter 2021
Zettai Zetsumei Dangerous Jiisan Special-ban,"Action,Adventure,Fantasy,Supernatural",15647,15991,6.45,1,10 min.,Winter 2021
Zouressha ga Yatte Kita,"Action,Adventure,Fantasy,Supernatural",15749,15439,6.45,1,1 hr. 17 min.,Winter 2021
Zou no Inai Doubutsuen,"Action,Adventure,Fantasy,Supernatural",15748,14810,6.45,1,1 hr. 18 min.,Winter 2021
Akachan Honbuchou 2nd Season,"Action,Adventure,Fantasy,Supernatural",15843,17698,6.45,8,5 min. per ep.,Winter 2022
Akane-chan,"Comedy,Slice of Life",15848,12732,6.45,26,26 min. per ep.,Spring 1968
Aisu,"Adventure,Comedy,Drama,Romance,Sci-Fi",15838,19431,6.45,1,4 min.,Spring 1968
Aisou ze!,"Adventure,Comedy,Drama,Romance,Sci-Fi",15837,19430,6.45,1,3 min.,Spring 1968
AK Mofa Shaonu,"Adventure,Comedy,Drama,Romance,Sci-Fi",15841,19432,6.45,52,22 min. per ep.,Spring 2015
Ajisai no Uta,"Comedy,Drama",15839,14344,6.45,4,54 min. per ep.,Spring 2015
Akai Yama Aoi Yama Shiroi Yama,"Comedy,Drama",15846,16636,6.45,1,2 min.,Spring 2015
"Annyeong, Tyrano: Yeong-wonhi, Hamkke","Comedy,Drama",15899,13796,6.45,1,1 hr. 37 min.,Spring 2015
Ashita Aou ne,"Comedy,Drama",15949,17160,6.45,1,2 min.,Spring 2015
Ashita Kirarin,"Comedy,Drama",15950,15225,6.45,1,26 min.,Spring 2015
Asa Da yo! Kaishain,"Comedy,Drama",15947,12519,6.45,744,44 sec. per ep.,Spring 2016
Arui Tekoteko,"Comedy,Drama",15946,17159,6.45,1,2 min.,Spring 2016
"Annyeong, Jeonwoochi! Dosoolrobotdaegyeoljeon","Comedy,Drama",15898,17108,6.45,1,1 hr. 28 min.,Spring 2016
Aru Mori no wo Hanashi: Rururu no Rule,"Comedy,Drama",15945,17862,6.45,1,16 min.,Spring 2016
Aru Kokoro no Tabi,"Comedy,Drama",15944,19440,6.45,1,4 min.,Spring 2016
Ajjishin da Tsunami wa? Jibun no Inochi wa Jibun de Mamoru,"Comedy,Drama",15840,16788,6.45,1,14 min.,Spring 2016
Aware! Meisaku-kun: Ito-Yokado no Randsell,"Comedy,Drama",15997,16405,6.45,1,1 min.,Spring 2016
Aishiteru yo McCrea: McCrea no Koutsuu Anzen,"Comedy,Drama",15836,18202,6.45,1,15 min.,Spring 2016
"Ano Hi, Bokura wa Senjou de: Shounenhei no Kokuhaku","Comedy,Drama",15900,14311,6.45,1,22 min.,Spring 2016
Bang Jin Mei Duo,"Comedy,Drama",16050,19081,6.45,1,18 min.,Spring 2016
Annyeong Totobi,"Comedy,Drama",15897,16380,6.45,104,20 min. per ep.,Summer 2011
BanG Dream! Movie: Poppin' Dream!,"Comedy,Drama",16049,7133,6.45,1,1 hr. 11 min.,Summer 2011
Bang Bang Yu Qiaqia,"Comedy,Drama",16048,19013,6.45,50,5 min. per ep.,Summer 2011
Benpiyaku Colace,"Comedy,Drama",16099,17584,6.45,7,24 sec. per ep.,Summer 2011
Asari-chan: Ai no Marchen Shoujo,"Adventure,Slice of Life",15948,13789,6.45,1,24 min.,Summer 2011
Boku no Oldies wa All Color,"Adventure,Slice of Life",16150,16241,6.45,1,27 min.,Summer 2011
Aware! Meisaku-kun: Human Academy Robot Kyoushitsu,"Adventure,Slice of Life",15996,16862,6.45,2,45 sec. per ep.,Summer 2011
Aware! Meisaku-kun: Meiji Saite Oishii Mozzarella,"Adventure,Slice of Life",15998,15793,6.45,1,2 min.,Summer 2011
Aware! Meisaku-kun: Q&A Corner,"Adventure,Slice of Life",16000,17439,6.45,Unknown,1 min.,Summer 2011
Boku no Diet Daisakusen,"Adventure,Slice of Life",16146,17335,6.45,1,18 min.,Summer 2011
Benkai to Ushiwakamaru,"Adventure,Slice of Life",16098,17774,6.45,1,7 min.,Summer 2011
"Boku datte, Kirei ni Shitainda","Adventure,Slice of Life",16144,16884,6.45,1,15 min.,Summer 2011
Aware! Meisaku-kun: Oronamin C,"Adventure,Slice of Life",15999,15878,6.45,1,30 sec.,Summer 2011
Boku no Nikkichou,"Adventure,Slice of Life",16149,18295,6.45,1,2 min.,Summer 2011
Bucchigiri,"Adventure,Slice of Life",16200,12722,6.45,4,50 min. per ep.,Summer 2011
Bubaga,"Adventure,Slice of Life",16198,16570,6.45,8,5 min. per ep.,Spring 1995
Boku no Kachi,"Adventure,Slice of Life",16147,17469,6.45,1,2 min.,Spring 1995
Bu Gu Niao Jiao Chi Le,"Adventure,Slice of Life",16197,19017,6.45,1,10 min.,Spring 1995
Bu Cha Ban Fen Hao,"Adventure,Slice of Life",16196,19270,6.45,1,20 min.,Spring 1995
Bubble Bath,"Adventure,Slice of Life",16199,16714,6.45,1,2 min.,Spring 1995
Boku no Aozora,"Adventure,Slice of Life",16145,17274,6.45,1,26 min.,Spring 1995
Boku (Re-Arrange),"Adventure,Slice of Life",16143,17586,6.45,1,5 min.,Spring 1995
Bu Bai Chi Hua Shanhai Jing,"Adventure,Slice of Life",16194,18824,6.45,Unknown,4 min.,Spring 1995
Bremen no Muppet Musician,"Adventure,Slice of Life",16192,18328,6.45,1,4 min.,Spring 1995
Break Go!Ga!,"Adventure,Slice of Life",16190,15656,6.45,1,3 min.,Spring 1995
Bu Bu Xiong,"Adventure,Slice of Life",16195,19501,6.45,26,12 min. per ep.,Spring 1995
Break-Age,"Adventure,Slice of Life",16191,12695,6.45,1,43 min.,Spring 1995
Bousai Keihatsu Douga,"Adventure,Slice of Life",16186,17311,6.45,2,6 min. per ep.,Spring 1995
Beolineun Seom,"Adventure,Slice of Life",16100,19487,6.45,1,10 min.,Spring 1995
Bouken Shounen Shadar,"Adventure,Horror",16184,12960,6.45,156,10 min. per ep.,Fall 1967
Bravo Dong Dong,"Adventure,Horror",16189,19500,6.45,52,22 min. per ep.,Fall 1967
Bouken Gabotenjima,"Adventure,Horror",16183,13591,6.45,39,24 min. per ep.,Spring 1967
Boku no Me wa Neko no Me,"Adventure,Horror",16148,18054,6.45,1,2 min.,Spring 1967
Boriwa Jjagu,"Adventure,Horror",16180,18961,6.45,1,1 hr. 16 min.,Spring 1967
Broadcast by Bibby,"Adventure,Horror",16193,17219,6.45,Unknown,24 sec.,Spring 1967
Bonta,"Adventure,Comedy",16178,19498,6.45,1,1 hr. 20 min.,Spring 1967
Bousou Sengokushi,"Adventure,Comedy",16187,13973,6.45,2,45 min. per ep.,Spring 1967
Boo Boo Boy,"Adventure,Comedy",16179,14826,6.45,26,2 min. per ep.,Summer 2015
Bonobono: Uchuu kara Kita Tomodachi,"Adventure,Comedy",16177,15730,6.45,1,22 min.,Summer 2015
Bosco no Mori no Nakama-tachi,"Adventure,Fantasy",16181,15370,6.45,1,5 min.,Summer 2015
Bonobono: Kumomo no Ki no Koto,"Adventure,Fantasy",16176,14011,6.45,1,1 hr. 1 min.,Summer 2015
Bouken-tachi Gamba to Nanbiki no Nakama,"Adventure,Fantasy",16185,14288,6.45,1,1 hr. 35 min.,Summer 2015
Bokutachi no Kidzuki-hen,"Adventure,Fantasy",16171,14728,6.45,1,30 sec.,Summer 2015
Bokutachi no Peace River,"Adventure,Drama,Supernatural",16172,15861,6.45,1,32 min.,Summer 2015
Boleumdal Gongjang,"Comedy,Fantasy",16173,18816,6.45,52,11 min. per ep.,Summer 2015
Boshi Wa Dou Bianselong,"Comedy,Fantasy",16182,19499,6.45,1,10 min.,Summer 2015
Bokura no Ashita: Freeter no Genjou ni Kansuru Wakamono e no Shuuchi Kouhou Jigyou,"Comedy,Fantasy",16168,16671,6.45,1,16 min.,Summer 2015
"Bokura no Te ni wa Nanimo Nai kedo,","Comedy,Fantasy",16170,17511,6.45,1,4 min.,Summer 2015
Caribadix,"Comedy,Fantasy",16248,13688,6.45,46,45 sec. per ep.,Spring 2017
Caribadix 2nd Season,"Comedy,Fantasy",16250,15312,6.45,39,45 sec. per ep.,Spring 2018
Boy General,"Action,Drama",16188,18219,6.45,50,20 min. per ep.,Spring 2018
"Caribadix ""Renai Revolution 21"" Cover MV","Action,Drama",16249,17258,6.45,1,3 min.,Spring 2018
Captain Bal,"Action,Drama",16246,13990,6.45,1,22 min.,Spring 2018
Captain,"Action,Drama",16245,13943,6.45,1,1 hr. 54 min.,Spring 2018
Capsule Boy,"Action,Drama",16242,16921,6.45,26,24 min. per ep.,Spring 2016
Bonobono (TV) Specials,"Action,Drama",16175,14387,6.45,9,Unknown,Spring 2016
Capsule Boy 2: Ujuleul Jikyeola,"Action,Drama",16243,17533,6.45,26,24 min. per ep.,Winter 2019
Capsule Samurai,"Action,Drama",16244,17470,6.45,40,40 sec. per ep.,Winter 2019
Captain Movie,"Action,Drama",16247,14159,6.45,1,1 hr. 38 min.,Winter 2019
Cao Yuan Ying Xiong Xiao Jie Mei,"Action,Drama",16239,19082,6.45,1,39 min.,Winter 2019
Bokura no Saibanin Monogatari,"Action,Drama",16169,13949,6.45,1,22 min.,Winter 2019
Cap Kakumei Bottleman DX,"Action,Drama",16241,14565,6.45,Unknown,12 min.,Spring 2022
Cao Chong Cheng Xiang,"Action,Drama",16236,19041,6.45,1,16 min.,Spring 2022
Canon T-70: Mirai Toshi-hen,"Action,Drama",16235,18461,6.45,2,25 sec. per ep.,Spring 2022
Cancerfund x Din Dong CM's,"Action,Drama",16232,18738,6.45,5,1 min. per ep.,Spring 2022
Calicula Machine,"Action,Drama",16231,17250,6.45,1,7 min.,Spring 2022
Cao Ren,"Action,Drama",16238,19018,6.45,1,10 min.,Spring 2022
Bomberman: Yuuki wo Arigatou - Watashi ga Mimi ni Naru,"Action,Drama",16174,15533,6.45,1,26 min.,Spring 2022
Cao Jingling,"Action,Drama",16237,18981,6.45,52,13 min. per ep.,Spring 2022
Cheol-in 007,"Action,Sci-Fi",16299,15885,6.45,1,1 hr. 10 min.,Spring 2022
Calbee Hitokuchi Gekijou,"Comedy,Slice of Life",16230,17001,6.45,18,30 sec. per ep.,Spring 2022
Candy no Yume,"Comedy,Slice of Life",16233,16755,6.45,1,2 min.,Spring 2022
Chengzi Gushi,"Comedy,Slice of Life",16298,19043,6.45,12,5 min. per ep.,Spring 2022
Chengyu Donghua Lang,"Comedy,Slice of Life",16297,14847,6.45,180,3 min. per ep.,Spring 2022
Chel-in sacheon-wang,"Action,Sci-Fi",16295,16538,6.45,1,1 hr. 15 min.,Spring 2022
Cakes,"Action,Sci-Fi",16229,15105,6.45,1,49 sec.,Spring 2022
Chein Kuro-Nikuru!! Kanketsu-hen,"Action,Sci-Fi",16294,14817,6.45,1,6 min.,Spring 2022
Charamaru-kun to Dokumaru-kun,"Action,Sci-Fi",16292,17587,6.45,1,20 min.,Spring 2022
Cheonbangjichuk Hani,"Comedy,Drama,Sports",16300,14320,6.45,13,20 min. per ep.,Spring 2022
Chaoji Xiaoxiong BOOMi,"Comedy,Drama,Sports",16290,19520,6.45,52,13 min. per ep.,Spring 2022
Canimals,"Comedy,Drama,Sports",16234,18103,6.45,26,7 min. per ep.,Spring 2011
Chaoji Fei Xia: Kan Zhong Guo,"Comedy,Drama,Sports",16288,19148,6.45,12,2 min. per ep.,Spring 2011
Caoben Jiazu,"Adventure,Fantasy",16240,19512,6.45,52,13 min. per ep.,Spring 2011
Chao Xian Lie Bing-kai Neng 2nd Season,"Action,Adventure",16285,19518,6.45,26,26 min. per ep.,Spring 2011
Chao Zhi Neng Zu Qiu 2: Shijie Dasai Pian,"Action,Adventure",16286,19519,6.45,52,24 min. per ep.,Spring 2018
Chikyuu wa Guruguru Merry-Go-Round,"Action,Adventure",16350,17738,6.45,1,21 min.,Spring 2018
Chaoji Gongcheng Xiao Fendui,"Action,Adventure",16289,19271,6.45,11,11 min. per ep.,Spring 2018
Chikyuu SOS Sore Ike Kororin,"Action,Comedy,Sci-Fi",16347,15469,6.45,26,25 min. per ep.,Spring 1992
Chueog-ui Geomjeong-gomusin,"Comedy,Slice of Life",16399,18700,6.45,1,1 hr. 20 min.,Spring 1992
Chui Gu Shou,"Comedy,Slice of Life",16400,19149,6.45,1,17 min.,Spring 1992
Chengshi Jiyi Wo Men De Jieri,"Comedy,Slice of Life",16296,19272,6.45,7,3 min. per ep.,Spring 1992
Corocoro Coronya,"Comedy,Slice of Life",16450,17948,6.45,13,30 sec. per ep.,Spring 1992
Chikyuu to no Yakusoku,"Comedy,Slice of Life",16349,17402,6.45,1,Unknown,Spring 1992
Chuanyue Yunnan Sanqiannian: Yun Xiao Zhi Man Youji,"Comedy,Slice of Life",16397,18914,6.45,10,15 min. per ep.,Spring 1992
Convenience Store Senki Purin-tai,"Comedy,Slice of Life",16448,16673,6.45,8,1 min. per ep.,Spring 1992
Daijoubu,"Comedy,Slice of Life",16500,18280,6.45,1,2 min.,Spring 1992
